player_one,score_player_one,player_two,score_player_two,winner,template,player_one_hero,player_two_hero,bidding_amount,ending_day,created_at,turns_played,player_one_town,player_one_colour,player_two_town,player_two_colour,template_type
michail117,0,[SDK] Ravciozo,1,[SDK] Ravciozo,Nostalgia/TP,solmyr,gunnar,2200,134,2021-04-29 16:54:05,18.0,tower,red,dungeon,blue,XL+U
HawkWRz,0,Vertr0X,1,Vertr0X,h3dm1/3,gundula,crag hack,900,124,2021-05-19 08:21:53,11.0,stronghold,red,stronghold,blue,Mirror
Bartt666,0,BOARtek,1,BOARtek,h3dm1/3,giselle,aeris,900,143,2021-05-20 14:49:18,24.0,rampart,red,rampart,blue,Mirror
BOARtek,0,GALAXER00,1,GALAXER00,mt_Firewalk,octavia,xyron,-5500,136,2021-05-21 14:44:08,20.0,inferno,red,inferno,blue,Mirror
Fafhrd,1,GALAXER00,0,Fafhrd,h3dm1/3,leena,jeremy,-900,122,2021-05-21 20:33:37,9.0,cove,red,cove,blue,Mirror
Ardian,1,Deextereek,0,Ardian,h3dm1/3,eovacius,anabel,700,127,2021-05-21 20:38:19,14.0,cove,red,cove,blue,Mirror
Trailblazer,1,isenthor,0,Trailblazer,Nostalgia/TP,thant,ivor,-700,134,2021-05-22 11:20:23,18.0,necropolis,red,rampart,blue,XL+U
Darcade,0,Niechcic,1,Niechcic,Nostalgia/TP,luna,aine,-2900,127,2021-05-22 12:11:14,14.0,conflux,red,tower,blue,XL+U
Jakub994,0,Crackbrained,1,Crackbrained,Nostalgia/TP,aine,ivor,1300,137,2021-05-22 16:11:09,21.0,tower,red,rampart,blue,XL+U
Jakub994,0,Crackbrained,1,Crackbrained,6lm10a/tp,alkin,calh,2800,112,2021-05-22 16:11:09,2.0,fortress,red,inferno,blue,XL+U
Jakub994,0,Crackbrained,1,Crackbrained,h3dm1/3,gundula,shiva,900,125,2021-05-22 16:11:09,12.0,stronghold,red,stronghold,blue,Mirror
Abrasus,1,michail117,0,Abrasus,6lm10a/tp,aine,ivor,-1500,,2021-05-23 08:54:25,,tower,red,rampart,blue,XL+U
Banan10,0,Kiniok,1,Kiniok,h3dm1/3,octavia,calid,800,,2021-05-23 08:56:06,,inferno,red,inferno,blue,Mirror
Djalli,0,Matrido,1,Matrido,h3dm1/3,coronius,alagar,900,122,2021-05-23 19:03:23,9.0,rampart,red,rampart,blue,Mirror
gee,0,Roberto,1,Roberto,Nostalgia/TP,anabel,shakti,-1800,141,2021-05-23 19:08:27,22.0,cove,red,dungeon,blue,XL+U
The_spot,0,Tur3k,1,Tur3k,6lm10a/tp,grindan,wystan,6200,133,2021-05-23 19:21:44,17.0,conflux,red,fortress,blue,XL+U
Maralf,0,Cruzen,1,Cruzen,6lm10a/tp,valeska,calh,-3600,137,2021-05-24 07:56:34,21.0,castle,red,inferno,blue,XL+U
Maralf,0,Cruzen,1,Cruzen,Nostalgia/TP,valeska,thant,-3000,137,2021-05-24 07:56:34,21.0,castle,red,necropolis,blue,XL+U
MikiWaikiki,0,Brodazy,1,Brodazy,mt_Firewalk,daremyth,cyra,4600,132,2021-05-24 11:16:49,16.0,tower,red,tower,blue,Mirror
Arytmetyczny,0,Szopa666,1,Szopa666,6lm10a/tp,wystan,aine,-4000,134,2021-05-24 15:18:21,18.0,fortress,red,tower,blue,XL+U
CzileraInzyniera,1,Zandarz,0,CzileraInzyniera,Nostalgia/TP,anabel,shakti,-2300,132,2021-05-25 11:32:22,16.0,cove,red,dungeon,blue,XL+U
wnukos,1,Lanthan,0,wnukos,mt_Firewalk,jeremy,cassiopeia,-4100,127,2021-05-25 17:23:25,14.0,cove,red,cove,blue,Mirror
Soczi80,1,Jajko,0,Soczi80,h3dm1/3,shiva,gretchin,-700,134,2021-05-25 17:49:31,18.0,stronghold,red,stronghold,blue,Mirror
MM14,0,Blackyyo,1,Blackyyo,6lm10a/tp,ivor,solmyr,4400,131,2021-05-25 17:51:52,15.0,rampart,red,tower,blue,XL+U
Banita,1,The_spot,0,Banita,h3dm1/3,jenova,coronius,700,126,2021-05-25 17:55:37,13.0,rampart,red,rampart,blue,Mirror
