result,town,hero,color,bidding,opponent_town,opponent_hero,turns,template,template_type
0,tower,solmyr,red,2200.0,dungeon,gunnar,18.0,Nostalgia/TP,XL+U
1,dungeon,gunnar,blue,-2200.0,tower,solmyr,18.0,Nostalgia/TP,XL+U
0,stronghold,gundula,red,900.0,stronghold,crag hack,11.0,h3dm1/3,Mirror
1,stronghold,crag hack,blue,-900.0,stronghold,gundula,11.0,h3dm1/3,Mirror
0,rampart,giselle,red,900.0,rampart,aeris,24.0,h3dm1/3,Mirror
1,rampart,aeris,blue,-900.0,rampart,giselle,24.0,h3dm1/3,Mirror
0,inferno,octavia,red,-5500.0,inferno,xyron,20.0,mt_Firewalk,Mirror
1,inferno,xyron,blue,5500.0,inferno,octavia,20.0,mt_Firewalk,Mirror
1,cove,leena,red,-900.0,cove,jeremy,9.0,h3dm1/3,Mirror
0,cove,jeremy,blue,900.0,cove,leena,9.0,h3dm1/3,Mirror
1,cove,eovacius,red,700.0,cove,anabel,14.0,h3dm1/3,Mirror
0,cove,anabel,blue,-700.0,cove,eovacius,14.0,h3dm1/3,Mirror
1,necropolis,thant,red,-700.0,rampart,ivor,18.0,Nostalgia/TP,XL+U
0,rampart,ivor,blue,700.0,necropolis,thant,18.0,Nostalgia/TP,XL+U
0,conflux,luna,red,-2900.0,tower,aine,14.0,Nostalgia/TP,XL+U
1,tower,aine,blue,2900.0,conflux,luna,14.0,Nostalgia/TP,XL+U
0,stronghold,gundula,red,900.0,stronghold,shiva,12.0,h3dm1/3,Mirror
1,stronghold,shiva,blue,-900.0,stronghold,gundula,12.0,h3dm1/3,Mirror
0,tower,aine,red,1300.0,rampart,ivor,21.0,Nostalgia/TP,XL+U
1,rampart,ivor,blue,-1300.0,tower,aine,21.0,Nostalgia/TP,XL+U
0,fortress,alkin,red,2800.0,inferno,calh,2.0,6lm10a/tp,XL+U
1,inferno,calh,blue,-2800.0,fortress,alkin,2.0,6lm10a/tp,XL+U
1,tower,aine,red,-1500.0,rampart,ivor,,6lm10a/tp,XL+U
0,rampart,ivor,blue,1500.0,tower,aine,,6lm10a/tp,XL+U
0,inferno,octavia,red,800.0,inferno,calid,,h3dm1/3,Mirror
1,inferno,calid,blue,-800.0,inferno,octavia,,h3dm1/3,Mirror
0,rampart,coronius,red,900.0,rampart,alagar,9.0,h3dm1/3,Mirror
1,rampart,alagar,blue,-900.0,rampart,coronius,9.0,h3dm1/3,Mirror
0,cove,anabel,red,-1800.0,dungeon,shakti,22.0,Nostalgia/TP,XL+U
1,dungeon,shakti,blue,1800.0,cove,anabel,22.0,Nostalgia/TP,XL+U
0,conflux,grindan,red,6200.0,fortress,wystan,17.0,6lm10a/tp,XL+U
1,fortress,wystan,blue,-6200.0,conflux,grindan,17.0,6lm10a/tp,XL+U
0,castle,valeska,red,-3600.0,inferno,calh,21.0,6lm10a/tp,XL+U
1,inferno,calh,blue,3600.0,castle,valeska,21.0,6lm10a/tp,XL+U
0,castle,valeska,red,-3000.0,necropolis,thant,21.0,Nostalgia/TP,XL+U
1,necropolis,thant,blue,3000.0,castle,valeska,21.0,Nostalgia/TP,XL+U
0,tower,daremyth,red,4600.0,tower,cyra,16.0,mt_Firewalk,Mirror
1,tower,cyra,blue,-4600.0,tower,daremyth,16.0,mt_Firewalk,Mirror
0,fortress,wystan,red,-4000.0,tower,aine,18.0,6lm10a/tp,XL+U
1,tower,aine,blue,4000.0,fortress,wystan,18.0,6lm10a/tp,XL+U
1,cove,anabel,red,-2300.0,dungeon,shakti,16.0,Nostalgia/TP,XL+U
0,dungeon,shakti,blue,2300.0,cove,anabel,16.0,Nostalgia/TP,XL+U
1,cove,jeremy,red,-4100.0,cove,cassiopeia,14.0,mt_Firewalk,Mirror
0,cove,cassiopeia,blue,4100.0,cove,jeremy,14.0,mt_Firewalk,Mirror
1,stronghold,shiva,red,-700.0,stronghold,gretchin,18.0,h3dm1/3,Mirror
0,stronghold,gretchin,blue,700.0,stronghold,shiva,18.0,h3dm1/3,Mirror
0,rampart,ivor,red,4400.0,tower,solmyr,15.0,6lm10a/tp,XL+U
1,tower,solmyr,blue,-4400.0,rampart,ivor,15.0,6lm10a/tp,XL+U
1,rampart,jenova,red,700.0,rampart,coronius,13.0,h3dm1/3,Mirror
0,rampart,coronius,blue,-700.0,rampart,jenova,13.0,h3dm1/3,Mirror
1,inferno,nymus,red,-3700.0,inferno,xyron,19.0,mt_Firewalk,Mirror
0,inferno,xyron,blue,3700.0,inferno,nymus,19.0,mt_Firewalk,Mirror
1,tower,aine,red,800.0,rampart,ivor,9.0,6lm10a/tp,XL+U
0,rampart,ivor,blue,-800.0,tower,aine,9.0,6lm10a/tp,XL+U
1,cove,illor,red,5600.0,cove,jeremy,11.0,mt_Firewalk,Mirror
0,cove,jeremy,blue,-5600.0,cove,illor,11.0,mt_Firewalk,Mirror
1,dungeon,shakti,red,3100.0,rampart,ivor,16.0,6lm10a/tp,XL+U
0,rampart,ivor,blue,-3100.0,dungeon,shakti,16.0,6lm10a/tp,XL+U
0,stronghold,tyraxor,red,-2300.0,tower,aine,15.0,Nostalgia/TP,XL+U
1,tower,aine,blue,2300.0,stronghold,tyraxor,15.0,Nostalgia/TP,XL+U
0,fortress,wystan,red,2300.0,dungeon,shakti,13.0,6lm10a/tp,XL+U
1,dungeon,shakti,blue,-2300.0,fortress,wystan,13.0,6lm10a/tp,XL+U
0,conflux,monere,red,800.0,conflux,pasis,4.0,h3dm1/3,Mirror
1,conflux,pasis,blue,-800.0,conflux,monere,4.0,h3dm1/3,Mirror
0,fortress,alkin,red,-900.0,fortress,andra,11.0,h3dm1/3,Mirror
1,fortress,andra,blue,900.0,fortress,alkin,11.0,h3dm1/3,Mirror
0,dungeon,shakti,red,3600.0,rampart,ivor,11.0,6lm10a/tp,XL+U
